starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	6
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	8	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	4	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	9	9
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	9	9	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	9	9
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	4	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	4	5	9	5
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	1	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	3	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	4	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	3	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	4	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	6
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	2	8	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	8
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	8
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	5	5	10	5
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
Thu Nov 18 23:56:39 2021	1637250999	2	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	4	6	10	6
Thu Nov 18 23:56:39 2021	1637250999	1	9	10	9
Thu Nov 18 23:56:39 2021	1637250999	3	7	10	7
