starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:55:26 2021	1637250926	0	12	12	12
Thu Nov 18 23:55:26 2021	1637250926	0	12	12	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	12	12
Thu Nov 18 23:55:26 2021	1637250926	2	11	12	11
Thu Nov 18 23:55:26 2021	1637250926	2	10	13	10
Thu Nov 18 23:55:26 2021	1637250926	2	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	1	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	0	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	11
Thu Nov 18 23:55:26 2021	1637250926	0	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	11
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	2	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	0	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	2	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	13
Thu Nov 18 23:55:26 2021	1637250926	0	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	2	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	13	13	12
Thu Nov 18 23:55:26 2021	1637250926	2	12	13	11
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	13
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	13
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	13	13
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	3	11	13	11
Thu Nov 18 23:55:26 2021	1637250926	1	12	13	12
Thu Nov 18 23:55:26 2021	1637250926	1	13	13	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	13	13
Thu Nov 18 23:55:26 2021	1637250926	0	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	12
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	14	12
Thu Nov 18 23:55:26 2021	1637250926	2	12	14	12
Thu Nov 18 23:55:26 2021	1637250926	1	12	14	12
Thu Nov 18 23:55:26 2021	1637250926	0	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	2	12	14	12
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	13
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	13
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	14
Thu Nov 18 23:55:26 2021	1637250926	0	14	14	13
Thu Nov 18 23:55:26 2021	1637250926	1	13	14	12
